sample_index,sensor_id,temperature_celsius,frequency_hz
58,S01,26.16,100577.48329108003
59,S01,26.18,100621.8713350477
60,S01,26.2,100609.00864209459
61,S01,26.22,100617.89010197762
62,S01,26.24,100629.84882771829
63,S01,26.26,100632.1254174227
64,S01,26.28,100657.41387903484
65,S01,26.3,100661.02192432732
66,S01,26.32,100683.77926425818
67,S01,26.34,100688.59070020792
68,S01,26.36,100696.82277587871
69,S01,26.38,100713.14866547204
70,S01,26.4,100733.23202808147
71,S01,26.42,100722.41276436282
72,S01,26.44,100733.77911813046
73,S01,26.46,100759.36256004407
74,S01,26.48,100744.81173898476
75,S01,26.5,100779.93515925738
76,S01,26.52,100773.28798797155
77,S01,26.54,100791.20000817825
78,S01,26.56,100800.0530309293
79,S01,26.58,100820.34365554333
80,S01,26.6,100819.46738491855
81,S01,26.62,100841.12547778439
82,S01,26.64,100847.26528029147
83,S01,26.66,100846.19819549228
84,S01,26.68,100866.5873363811
85,S01,26.7,100898.72995146085
86,S01,26.72,100878.26885553081
87,S01,26.74,100891.7864751938
88,S01,26.76,100905.92331978297
89,S01,26.78,100913.60023884884
90,S01,26.8,100912.84479673415
91,S01,26.82,100922.77663461924
92,S01,26.84,100940.6367199807
93,S01,26.86,100954.79718042811
94,S01,26.88,100944.05732624346
95,S01,26.9,100991.96595275652
96,S01,26.92,100963.21461379415
97,S01,26.94,100990.52138665496
98,S01,26.96,101005.41494876308
99,S01,26.98,101013.94246305738
100,S01,27.0,101022.90109515762
101,S01,27.02,101023.45455891007
102,S01,27.04,101039.46172746792
103,S01,27.06,101054.38441883163
104,S01,27.08,101063.61337067255
105,S01,27.1,101073.30242615844
106,S01,27.12,101078.48680308345
107,S01,27.14,101100.30115292271
108,S01,27.16,101122.6937096597
109,S01,27.18,101112.59965659335
110,S01,27.2,101126.72327405773
111,S01,27.22,101147.14932122998
112,S01,27.240000000000002,101155.65140707651
113,S01,27.26,101174.15382616625
114,S01,27.28,101173.10232661
115,S01,27.3,101173.82031371862
116,S01,27.32,101181.9117033944
117,S01,27.34,101190.79455180741
118,S01,27.36,101217.21185018032
119,S01,27.38,101230.79045316727
120,S01,27.4,101216.44564154568
121,S01,27.42,101236.75292795162
122,S01,27.44,101250.12972208874
123,S01,27.46,101260.58411870727
124,S01,27.48,101270.1625738579
125,S01,27.5,101282.53297542807
126,S01,27.52,101306.18441072777
127,S01,27.54,101294.5145613925
128,S01,27.56,101315.20212091638
129,S01,27.58,101316.10037302221
130,S01,27.6,101347.65049934486
131,S01,27.62,101348.39692301399
132,S01,27.64,101355.99460578423
133,S01,27.66,101361.92770761547
134,S01,27.68,101370.25717674124
135,S01,27.7,101383.78178161418
136,S01,27.72,101394.66281825193
137,S01,27.740000000000002,101390.39403009733
138,S01,27.76,101420.52149526277
139,S01,27.78,101431.03527340452
140,S01,27.8,101428.74185027878
141,S01,27.82,101443.02263247085
142,S01,27.84,101461.03272187708
143,S01,27.86,101459.4067071646
144,S01,27.88,101478.04319313806
145,S01,27.9,101495.58979228027
146,S01,27.92,101495.48112486277
147,S01,27.94,101501.07639088995
148,S01,27.96,101506.76003373168
149,S01,27.98,101551.0527442786
150,S01,28.0,101532.06118257048
151,S01,28.02,101540.41005790982
152,S01,28.04,101553.55705987925
153,S01,28.06,101567.38762797172
154,S01,28.08,101579.22593570659
155,S01,28.1,101595.49117428137
156,S01,28.12,101593.63775996017
157,S01,28.14,101605.74739230872
158,S01,28.16,101619.60658295621
159,S01,28.18,101632.29196390392
160,S01,28.2,101635.59564562149
161,S01,28.22,101645.52288415933
162,S01,28.240000000000002,101673.13090411745
163,S01,28.26,101661.35912912019
164,S01,28.28,101685.79892988471
165,S01,28.3,101693.25558717974
166,S01,28.32,101698.24794197391
167,S01,28.34,101706.34460319074
168,S01,28.36,101734.05865433675
169,S01,28.38,101745.51527001365
170,S01,28.4,101733.75172963645
171,S01,28.42,101748.24832094365
172,S01,28.44,101765.52946587546
173,S01,28.46,101758.4552841686
174,S01,28.48,101784.19662050703
175,S01,28.5,101796.47767502215
176,S01,28.52,101795.73371857294
177,S01,28.54,101817.12061551014
178,S01,28.56,101811.18299549076
179,S01,28.58,101836.73503715864
180,S01,28.6,101833.64720648027
181,S01,28.62,101834.139263397
182,S01,28.64,101871.41234026988
183,S01,28.66,101879.7431106036
184,S01,28.68,101876.80813822297
185,S01,28.7,101908.98783301846
186,S01,28.72,101905.79928671142
187,S01,28.740000000000002,101921.19189244279
188,S01,28.76,101918.29314118197
189,S01,28.78,101939.13272661647
190,S01,28.8,101945.63336335645
191,S01,28.82,101962.92361698195
192,S01,28.84,101974.86509651996
193,S01,28.86,101973.42164433232
194,S01,28.88,101994.18841905614
195,S01,28.9,101990.17704750012
196,S01,28.92,102037.07196541727
197,S01,28.94,102027.90929139536
198,S01,28.96,102039.48611129662
199,S01,28.98,102020.7953359236
200,S01,29.0,102063.02840649402
201,S01,29.02,102052.41626125084
202,S01,29.04,102074.22569991919
203,S01,29.060000000000002,102087.81408691351
204,S01,29.08,102091.9045079076
205,S01,29.1,102108.20605558023
206,S01,29.12,102117.84019696538
207,S01,29.14,102123.60765538791
208,S01,29.16,102137.28917163475
209,S01,29.18,102140.6965020435
210,S01,29.2,102153.38795586494
211,S01,29.22,102153.14218923113
212,S01,29.240000000000002,102154.20847460126
213,S01,29.259999999999998,102191.58062059974
214,S01,29.28,102202.66239018155
215,S01,29.3,102202.42235524069
216,S01,29.32,102212.04048537754
217,S01,29.34,102218.64681908245
218,S01,29.36,102227.34371128764
219,S01,29.38,102263.83326685098
220,S01,29.4,102245.12730087318
221,S01,29.42,102259.38288395568
222,S01,29.44,102274.3605000451
223,S01,29.46,102281.89070891391
224,S01,29.48,102286.70970763163
225,S01,29.5,102300.34300847752
226,S01,29.52,102318.17210562923
227,S01,29.54,102321.8547089408
228,S01,29.560000000000002,102339.0059492357
229,S01,29.58,102345.277878264
230,S01,29.6,102360.53618082062
231,S01,29.62,102376.4494205374
232,S01,29.64,102374.14265896755
233,S01,29.66,102381.811854493
234,S01,29.68,102409.54385936151
235,S01,29.7,102419.01981412723
236,S01,29.72,102418.01100047135
237,S01,29.740000000000002,102438.74147998348
238,S01,29.759999999999998,102432.13373992099
239,S01,29.78,102442.79002010195
240,S01,29.8,102450.29850644588
241,S01,29.82,102464.07197994988
242,S01,29.84,102484.15459136623
243,S01,29.86,102487.27851135001
244,S01,29.88,102498.42979371619
245,S01,29.9,102504.14001628406
246,S01,29.92,102510.68486152534
247,S01,29.94,102537.66691566096
248,S01,29.96,102538.48021785598
249,S01,29.98,102557.50884140511
250,S01,30.0,102561.15178569357
251,S01,30.02,102568.25086525535
252,S01,30.04,102553.7953733786
253,S01,30.060000000000002,102599.29336446972
254,S01,30.08,102605.19515275852
255,S01,30.1,102612.23888202423
256,S01,30.12,102623.99643938975
257,S01,30.14,102638.90831923508
258,S01,30.16,102658.10769986152
259,S01,30.18,102646.55640675192
260,S01,30.2,102669.09266209294
261,S01,30.22,102668.46969784691
262,S01,30.240000000000002,102692.29597833983
263,S01,30.259999999999998,102706.91462439128
264,S01,30.28,102701.30871979837
265,S01,30.3,102704.17739855716
266,S01,30.32,102736.572966937
267,S01,30.34,102734.26148479334
268,S01,30.36,102760.16383390063
269,S01,30.38,102756.39995921327
270,S01,30.4,102762.31116884801
271,S01,30.42,102787.39726487633
272,S01,30.44,102790.37931693226
273,S01,30.46,102795.02701032833
274,S01,30.48,102809.72405031743
275,S01,30.5,102819.64049334492
276,S01,30.52,102821.32951622974
277,S01,30.54,102835.50163032026
278,S01,30.560000000000002,102837.77462584249
279,S01,30.58,102850.28868228268
280,S01,30.6,102871.57683949647
281,S01,30.62,102889.42288709077
282,S01,30.64,102887.98250162303
283,S01,30.66,102908.26359561076
284,S01,30.68,102922.09481058593
285,S01,30.7,102910.84292593213
286,S01,30.72,102936.77987188914
287,S01,30.740000000000002,102944.59689826639
288,S01,30.759999999999998,102950.1229087769
289,S01,30.78,102961.14024308746
290,S01,30.8,102972.22248882502
291,S01,30.82,102969.66480658375
292,S01,30.84,102990.20823798807
293,S01,30.86,103014.55251522342
294,S01,30.88,103003.66530279297
295,S01,30.9,103019.2189433361
296,S01,30.92,103035.3138809913
297,S01,30.94,103042.58754827928
298,S01,30.96,103065.48754097125
299,S01,30.98,103051.27008169211
300,S01,31.0,103058.5575829746
301,S01,31.02,103079.0673591027
302,S01,31.04,103089.66114798168
303,S01,31.060000000000002,103101.59103501946
304,S01,31.08,103118.85683654198
305,S01,31.1,103129.2460808503
306,S01,31.12,103146.04383689271
307,S01,31.14,103136.33573187716
308,S01,31.16,103166.0112413657
309,S01,31.18,103152.126536216
310,S01,31.2,103177.02005096161
311,S01,31.22,103191.62730857657
312,S01,31.240000000000002,103207.11473002745
313,S01,31.259999999999998,103214.61615534461
314,S01,31.28,103222.57456550335
315,S01,31.3,103221.27907118607
316,S01,31.32,103233.58933530095
317,S01,31.34,103244.00802409563
318,S01,31.36,103271.90597258856
319,S01,31.38,103260.85286823966
320,S01,31.4,103292.3503404283
321,S01,31.42,103285.98114234701
322,S01,31.44,103299.71287117472
323,S01,31.46,103307.42011884325
324,S01,31.48,103318.26926856306
325,S01,31.5,103321.95218045046
326,S01,31.52,103352.41891032463
327,S01,31.54,103343.52980073132
328,S01,31.560000000000002,103369.42418235309
329,S01,31.58,103359.06928317994
330,S01,31.6,103378.83169732003
331,S01,31.62,103404.55438282758
332,S01,31.64,103413.4210203472
333,S01,31.66,103421.2282436191
334,S01,31.68,103424.85386272334
335,S01,31.7,103427.11112498419
336,S01,31.72,103445.36519732131
337,S01,31.740000000000002,103443.87672046211
338,S01,31.759999999999998,103457.39231380887
339,S01,31.78,103485.87719350302
340,S01,31.8,103482.96107081228
341,S01,31.82,103494.68894159248
342,S01,31.84,103505.69154837636
343,S01,31.86,103520.12113263083
344,S01,31.88,103537.42353345273
345,S01,31.9,103518.19283478797
346,S01,31.92,103542.07020240363
347,S01,31.94,103565.66267573484
348,S01,31.96,103546.42222759477
349,S01,31.98,103588.16438445802
350,S01,32.0,103566.66941716132
351,S01,32.02,103591.08404656276
352,S01,32.04,103621.48739573713
353,S01,32.06,103629.90684390043
354,S01,32.08,103634.9719764192
355,S01,32.1,103654.78824321991
356,S01,32.12,103646.1835815771
357,S01,32.14,103660.60966775645
358,S01,32.16,103655.19283002746
359,S01,32.18,103682.43874309781
360,S01,32.2,103683.26126164947
361,S01,32.22,103707.81472910635
362,S01,32.24,103700.12486785234
363,S01,32.26,103717.6695480714
364,S01,32.28,103723.03761415018
365,S01,32.3,103735.87602071758
366,S01,32.32,103748.83621786615
367,S01,32.34,103758.74545986227
368,S01,32.36,103778.31554329503
369,S01,32.38,103775.19111174729
370,S01,32.4,103787.40172010261
371,S01,32.42,103787.22984187836
372,S01,32.44,103806.75375532433
373,S01,32.46,103813.94884878429
374,S01,32.480000000000004,103841.57055650195
375,S01,32.5,103846.14601684305
376,S01,32.52,103848.00228142437
377,S01,32.54,103867.6766231459
378,S01,32.56,103879.20646205905
379,S01,32.58,103871.65932226591
380,S01,32.6,103890.17547462891
381,S01,32.62,103909.09637589514
382,S01,32.64,103905.98559412659
383,S01,32.66,103927.45414016515
384,S01,32.68,103932.09424989304
385,S01,32.7,103947.51940980447
386,S01,32.72,103937.08241416187
387,S01,32.74,103973.10067807829
388,S01,32.76,103966.61839215485
389,S01,32.78,103968.97205023089
390,S01,32.8,103989.65193327854
391,S01,32.82,104000.46215708545
392,S01,32.84,104014.97770615273
393,S01,32.86,104025.3677833673
394,S01,32.88,104033.72597308419
395,S01,32.9,104054.1692489751
396,S01,32.92,104045.93134758598
397,S01,32.94,104060.7759591595
398,S01,32.96,104068.20014451488
399,S01,32.980000000000004,104088.76157780031
400,S01,33.0,104099.1632777532
401,S01,33.019999999999996,104116.17825354224
402,S01,33.04,104129.19789392113
403,S01,33.06,104119.53653965177
404,S01,33.08,104139.70356367315
405,S01,33.1,104151.26345203006
406,S01,33.120000000000005,104147.2824245493
407,S01,33.14,104167.69749227617
408,S01,33.16,104171.49795472888
409,S01,33.18,104201.98622434934
410,S01,33.2,104199.60092807205
411,S01,33.22,104197.79755069652
412,S01,33.24,104220.84130706856
413,S01,33.26,104235.49922527178
414,S01,33.28,104246.40045499984
415,S01,33.3,104251.63193270129
416,S01,33.32,104245.56922767048
417,S01,33.34,104273.61883715946
418,S01,33.36,104288.86061274935
419,S01,33.38,104295.33198904805
420,S01,33.4,104298.30855962937
421,S01,33.42,104308.32583300422
422,S01,33.44,104319.30550327167
423,S01,33.46,104323.81816553921
424,S01,33.480000000000004,104343.31708365798
425,S01,33.5,104364.79518575408
426,S01,33.519999999999996,104376.68675171224
427,S01,33.54,104374.0600544496
428,S01,33.56,104384.31255076244
429,S01,33.58,104390.3072859128
430,S01,33.6,104399.8796326713
431,S01,33.620000000000005,104416.81042809378
432,S01,33.64,104434.12490951525
433,S01,33.66,104432.51249336869
434,S01,33.68,104451.03333525918
435,S01,33.7,104457.39501505066
436,S01,33.72,104470.87280020134
437,S01,33.74,104468.7948418053
438,S01,33.76,104490.00479419332
439,S01,33.78,104485.21644120535
440,S01,33.8,104517.4470999062
441,S01,33.82,104516.13743400127
442,S01,33.84,104543.2298787158
443,S01,33.86,104532.22991248757
444,S01,33.88,104537.98680821517
445,S01,33.9,104549.62451316457
446,S01,33.92,104553.08773405879
447,S01,33.94,104577.9429150991
448,S01,33.96,104572.33680133004
449,S01,33.980000000000004,104593.81958083154
450,S01,34.0,104608.75365030364
451,S01,34.019999999999996,104610.28527249001
452,S01,34.04,104629.24739956482
453,S01,34.06,104645.85471425692
454,S01,34.08,104641.23317456455
455,S01,34.1,104649.94119190474
456,S01,34.120000000000005,104659.42444545386
457,S01,34.14,104679.29679154247
458,S01,34.16,104690.54082317058
459,S01,34.18,104704.45008939998
460,S01,34.2,104710.09728991406
461,S01,34.22,104727.96612958433
462,S01,34.24,104727.76607387388
463,S01,34.26,104751.26595858249
464,S01,34.28,104756.21930125487
465,S01,34.3,104767.14800656647
466,S01,34.32,104768.63503432741
467,S01,34.34,104771.43908012536
468,S01,34.36,104800.96419055598
469,S01,34.38,104806.89018691066
470,S01,34.4,104805.91658913004
471,S01,34.42,104821.9611785226
472,S01,34.44,104836.6329677464
473,S01,34.46,104852.68215970678
474,S01,34.480000000000004,104863.63366440666
475,S01,34.5,104859.15031116361
476,S01,34.519999999999996,104870.06213253138
477,S01,34.54,104870.73977251376
478,S01,34.56,104896.60113891654
479,S01,34.58,104898.2856174272
480,S01,34.6,104923.75926519558
481,S01,34.620000000000005,104926.83130689236
482,S01,34.64,104937.13771979632
483,S01,34.66,104931.36088794138
484,S01,34.68,104965.25826663815
485,S01,34.7,104965.11055729467
486,S01,34.72,104977.59845895288
487,S01,34.74,104977.94111640255
488,S01,34.76,104993.73547544674
489,S01,34.78,105005.06337171816
490,S01,34.8,105020.3498868819
491,S01,34.82,105037.35761715248
492,S01,34.84,105046.31670677933
493,S01,34.86,105050.74870413664
494,S01,34.88,105056.16857984386
495,S01,34.9,105062.56612807124
496,S01,34.92,105084.72429949582
497,S01,34.94,105098.12593513132
498,S01,34.96,105108.39747100393
499,S01,34.980000000000004,105118.89811583949
500,S01,35.0,105129.008018083
501,S01,35.019999999999996,105132.7056451233
502,S01,35.04,105139.87147034082
503,S01,35.06,105151.09720357267
504,S01,35.08,105159.37933657246
505,S01,35.1,105168.93932003951
506,S01,35.120000000000005,105180.05966626071
507,S01,35.14,105193.40790057703
508,S01,35.16,105199.03472971171
509,S01,35.18,105217.0749238248
510,S01,35.2,105217.22893870859
511,S01,35.22,105245.74743870516
512,S01,35.24,105234.30704180003
513,S01,35.26,105263.4340177124
514,S01,35.28,105267.47858888227
515,S01,35.3,105269.40575232201
516,S01,35.32,105286.33324605446
517,S01,35.34,105295.97451740154
518,S01,35.36,105272.0007346113
519,S01,35.38,105307.22081634728
520,S01,35.4,105319.1027388287
521,S01,35.42,105345.53717283023
522,S01,35.44,105348.66111782167
523,S01,35.46,105345.2386106123
524,S01,35.480000000000004,105367.39552165444
525,S01,35.5,105357.56565493713
526,S01,35.519999999999996,105387.8632862196
527,S01,35.54,105399.13737978296
528,S01,35.56,105410.22753961422
529,S01,35.58,105421.47372147665
530,S01,35.6,105423.3190318252
531,S01,35.620000000000005,105429.53977796606
532,S01,35.64,105451.27549588063
533,S01,35.66,105471.18982260546
534,S01,35.68,105469.78925078956
535,S01,35.7,105474.69403905848
536,S01,35.72,105479.37726756289
537,S01,35.74,105491.70795021128
538,S01,35.76,105521.36467536716
539,S01,35.78,105530.22927353677
540,S01,35.8,105534.44842727833
541,S01,35.82,105540.11410788196
542,S01,35.84,105558.02364034453
543,S01,35.86,105562.5467561228
544,S01,35.88,105562.79025973729
545,S01,35.9,105563.82252011316
546,S01,35.92,105582.05919962778
547,S01,35.94,105610.0600808971
548,S01,35.96,105623.51893887956
549,S01,35.980000000000004,105628.50695612415
550,S01,36.0,105630.52995114739
551,S01,36.019999999999996,105640.69604984841
552,S01,36.04,105655.79036315286
553,S01,36.06,105648.39961076157
554,S01,36.08,105670.79374516776
555,S01,36.1,105681.91815037117
556,S01,36.120000000000005,105708.46026591102
557,S01,36.14,105703.37907973092
558,S01,36.16,105710.18322244479
559,S01,36.18,105732.20677330928
560,S01,36.2,105728.9871303732
561,S01,36.22,105752.6575501426
562,S01,36.24,105747.55036600832
563,S01,36.26,105779.31787958377
564,S01,36.28,105778.13407625562
565,S01,36.3,105783.32054011579
566,S01,36.32,105807.9792585417
567,S01,36.34,105804.42304589687
568,S01,36.36,105823.38741599048
569,S01,36.38,105816.63733648194
570,S01,36.4,105825.95449177072
571,S01,36.42,105853.28795916517
572,S01,36.44,105864.59465297137
573,S01,36.46,105867.26908180631
574,S01,36.480000000000004,105882.43129364823
575,S01,36.5,105879.82864928247
576,S01,36.519999999999996,105890.84513089294
577,S01,36.54,105910.48100673385
578,S01,36.56,105919.08319374952
579,S01,36.58,105923.79559609004
580,S01,36.6,105949.30914514209
581,S01,36.620000000000005,105938.45273353043
582,S01,36.64,105974.93232230988
583,S01,36.66,105979.59657263353
584,S01,36.68,105981.6201790537
585,S01,36.7,106000.4526364607
586,S01,36.72,105995.7488828652
587,S01,36.74,106007.0052569065
588,S01,36.76,106037.59150888554
589,S01,36.78,106035.27495011261
590,S01,36.8,106045.00955074573
591,S01,36.82,106057.9806833465
592,S01,36.84,106065.35569791244
593,S01,36.86,106066.46512860928
594,S01,36.88,106092.75680499755
595,S01,36.9,106085.42171499124
596,S01,36.92,106103.96765075975
597,S01,36.94,106115.52267980849
598,S01,36.96,106127.84148176895
599,S01,36.980000000000004,106133.79037811223
600,S01,37.0,106643.38368251611
601,S01,37.019999999999996,106146.25416328006
602,S01,37.04,106166.223775031
603,S01,37.06,106163.59742311646
604,S01,37.08,106180.42028635705
605,S01,37.1,106188.93883422182
606,S01,37.120000000000005,106207.49769243528
607,S01,37.14,106213.3874702167
608,S01,37.16,106229.21428846665
609,S01,37.18,106249.3544866552
610,S01,37.2,106243.863131988
611,S01,37.22,106267.66378807917
612,S01,37.24,106258.29052857192
613,S01,37.26,106279.88144226918
614,S01,37.28,106276.65669705626
615,S01,37.3,106304.69030170683
616,S01,37.32,106302.89697418336
617,S01,37.34,106330.08705168408
618,S01,37.36,106328.63762676333
619,S01,37.38,106345.71086179244
620,S01,37.4,106353.71510680189
621,S01,37.42,106363.75314486652
622,S01,37.44,106377.63998643463
623,S01,37.46,106387.40047961946
624,S01,37.480000000000004,106391.2671229154
625,S01,37.5,106396.01103417612
626,S01,37.519999999999996,106413.2852875626
627,S01,37.54,106430.59629604907
628,S01,37.56,106428.34922426172
629,S01,37.58,106420.42992144365
630,S01,37.6,106445.86789740121
631,S01,37.620000000000005,106461.54930240125
632,S01,37.64,106477.0373025485
633,S01,37.66,106486.13880210322
634,S01,37.68,106493.9848660462
635,S01,37.7,106508.49650407801
636,S01,37.72,106523.60444408443
637,S01,37.74,106524.87327543495
638,S01,37.76,106530.94153936258
639,S01,37.78,106565.87090392834
640,S01,37.8,106543.03434693588
641,S01,37.82,106560.88552670529
642,S01,37.84,106586.49735090882
643,S01,37.86,106596.92054674134
644,S01,37.88,106579.45848258102
645,S01,37.9,106606.84583946927
646,S01,37.92,106608.10657166006
647,S01,37.94,106622.35375768204
648,S01,37.96,106631.88123279175
649,S01,37.980000000000004,106648.74154800533
650,S01,38.0,106675.1690778772
651,S01,38.019999999999996,106673.39455046496
652,S01,38.04,106662.87440146337
653,S01,38.06,106689.90890117236
654,S01,38.08,106695.52788754764
655,S01,38.1,106710.14905543372
656,S01,38.120000000000005,106716.7307313274
657,S01,38.14,106726.8658354915
658,S01,38.16,106745.12648594934
659,S01,38.18,106757.57078053894
660,S01,38.2,106751.03476703884
661,S01,38.22,106793.86332137644
662,S01,38.24,106790.00227726907
663,S01,38.26,106799.45092516593
664,S01,38.28,106789.36710521106
665,S01,38.3,106801.9506707629
666,S01,38.32,106822.43572718959
667,S01,38.34,106840.81022497849
668,S01,38.36,106833.19920261657
669,S01,38.38,106854.32211851444
670,S01,38.4,106877.41617378361
671,S01,38.42,106853.45811504644
672,S01,38.44,106878.59534864847
673,S01,38.46,106903.11190088549
674,S01,38.480000000000004,106892.73706262182
675,S01,38.5,106904.76776659077
676,S01,38.519999999999996,106928.52229708782
677,S01,38.54,106931.82966597343
678,S01,38.56,106946.6860733853
679,S01,38.58,106965.48254647957
680,S01,38.6,106967.0410779945
681,S01,38.620000000000005,106978.67978253617
682,S01,38.64,106985.31709778169
683,S01,38.66,106995.30149324065
684,S01,38.68,106995.05183997817
685,S01,38.7,107018.80151948627
686,S01,38.72,107024.26727629727
687,S01,38.74,107041.6066326514
688,S01,38.76,107042.90500398088
689,S01,38.78,107044.46300553643
690,S01,38.8,107055.02091461186
691,S01,38.82,107080.43030295953
692,S01,38.84,107099.70304367857
693,S01,38.86,107090.9542839927
694,S01,38.88,107099.35577462961
695,S01,38.9,107109.58970790397
696,S01,38.92,107135.8529154028
697,S01,38.94,107134.9876691783
698,S01,38.96,107137.53051917536
699,S01,38.980000000000004,107155.68222968043
700,S01,39.0,107181.67985528118
701,S01,39.019999999999996,107171.20473540183
702,S01,39.04,107193.93744718662
703,S01,39.06,107201.92579756628
704,S01,39.08,107205.36515147415
705,S01,39.1,107232.75432770603
706,S01,39.120000000000005,107224.56767003216
707,S01,39.14,107238.01414914316
708,S01,39.16,107259.7123922389
709,S01,39.18,107269.88220100844
710,S01,39.2,107265.57348203336
711,S01,39.22,107263.57161467492
712,S01,39.24,107282.66035020581
713,S01,39.26,107302.20771925895
714,S01,39.28,107314.47191974719
715,S01,39.3,107323.82023151503
716,S01,39.32,107326.53218614923
717,S01,39.34,107346.11854424374
718,S01,39.36,107353.42732097789
719,S01,39.38,107367.17662513122
720,S01,39.4,107388.69298736534
721,S01,39.42,107380.54975043065
722,S01,39.44,107376.91281489267
723,S01,39.46,107395.70001782337
724,S01,39.480000000000004,107426.82513559454
725,S01,39.5,107425.08331038071
726,S01,39.519999999999996,107435.07506230142
727,S01,39.54,107447.87082896238
728,S01,39.56,107456.19065893245
729,S01,39.58,107457.06102417485
730,S01,39.6,107465.98468747878
731,S01,39.620000000000005,107472.04903062014
732,S01,39.64,107501.22492881818
733,S01,39.66,107516.68187150845
734,S01,39.68,107511.11108568724
735,S01,39.7,107520.54239269544
736,S01,39.72,107543.97112456975
737,S01,39.74,107552.00842741452
738,S01,39.76,107552.27967012482
739,S01,39.78,107578.79480013507
740,S01,39.8,107583.19849443011
741,S01,39.82,107583.37638057304
742,S01,39.84,107596.90917911383
743,S01,39.86,107603.24744286756
744,S01,39.88,107633.47742602817
745,S01,39.9,107624.96533547553
746,S01,39.92,107631.77636590671
747,S01,39.94,107647.66727224427
748,S01,39.96,107657.84734268066
749,S01,39.980000000000004,107677.37227393802
750,S01,40.0,107689.1141967695
751,S01,40.019999999999996,107689.83918472489
752,S01,40.04,107677.87530464919
753,S01,40.06,107709.65390079921
754,S01,40.08,107716.5903394495
755,S01,40.1,107723.94681976072
756,S01,40.120000000000005,107738.14605665486
757,S01,40.14,107755.46906492216
758,S01,40.16,107754.34949089511
759,S01,40.18,107783.53906683593
760,S01,40.2,107773.98316374849
761,S01,40.22,107784.17407607095
762,S01,40.24,107806.90064466318
763,S01,40.26,107823.90737618842
764,S01,40.28,107832.19350522642
765,S01,40.3,107830.94474375212
766,S01,40.32,107843.65502040964
767,S01,40.34,107851.33805186649
768,S01,40.36,107876.24133309245
769,S01,40.38,107873.83470146298
770,S01,40.4,107886.2310919617
771,S01,40.42,107900.84270385536
772,S01,40.44,107896.76688397813
773,S01,40.46,107913.45070161662
774,S01,40.480000000000004,107947.66260888978
775,S01,40.5,107950.90303586524
776,S01,40.519999999999996,107954.95670794476
777,S01,40.54,107952.96553020013
778,S01,40.56,107979.0163967755
779,S01,40.58,107988.2449792984
780,S01,40.6,107975.6118963751
781,S01,40.620000000000005,107998.68508376212
782,S01,40.64,108002.41121498622
783,S01,40.66,108018.67916120052
784,S01,40.68,108040.65076014663
785,S01,40.7,108020.20438758322
786,S01,40.72,108050.15423822265
787,S01,40.74,108070.11521060679
788,S01,40.76,108056.79187411486
789,S01,40.78,108092.54144041748
790,S01,40.8,108074.2851975432
791,S01,40.82,108100.10391227006
792,S01,40.84,108115.42003303849
793,S01,40.86,108116.58405149258
794,S01,40.88,108133.73570952145
795,S01,40.9,108133.8923884048
796,S01,40.92,108160.8787551404
797,S01,40.94,108158.5714769726
798,S01,40.96,108175.4332874976
799,S01,40.980000000000004,108176.98252609448
800,S01,41.0,108189.91995787644
801,S01,41.019999999999996,108213.50239134746
802,S01,41.04,108222.87408742792
